heroId,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
morphling,15.0,799,823,26658,18972,17711,3918,0,0
earth_spirit,2.12,450,540,16273,28477,739,3529,1,0
shadow_demon,6.33,347,454,28545,14559,1533,3353,1,3
beastmaster,7.5,525,616,13362,22207,3288,2492,0,1
skywrath_mage,2.57,298,453,12467,14906,129,1668,18,9
medusa,4.0,694,634,26436,3490,5693,7266,0,1
tiny,4.67,463,582,17924,19784,1220,7314,1,1
shredder,3.0,458,478,18538,29215,791,6389,0,1
enchantress,1.09,312,385,17172,27031,3705,6607,9,6
techies,5.67,341,470,19051,14933,1361,4448,9,4
disruptor,8.67,323,450,8891,4825,213,122,7,1
ember_spirit,26.0,620,679,27550,8033,1809,685,2,0
drow_ranger,7.0,818,699,23238,7212,15991,95,0,0
rattletrap,6.5,337,385,12895,11648,84,329,3,1
doom_bringer,25.0,662,526,12350,9916,1487,713,0,0
wisp,0.62,163,295,2193,14844,0,1907,7,1
dragon_knight,1.2,522,552,8648,20065,984,2654,0,0
techies,0.83,256,247,12809,14229,83,3065,4,0
leshrac,1.5,502,436,12577,20046,1909,3710,2,0
lycan,1.0,431,375,5407,15740,1351,1986,0,0
techies,1.75,290,326,14763,8845,92,3695,2,3
windrunner,1.0,398,380,12130,16302,745,3049,1,1
silencer,1.33,238,292,11323,9119,0,417,11,3
medusa,0.25,408,451,4344,2253,0,1292,0,0
tidehunter,0.83,364,352,8562,17689,1655,3129,0,0
slark,16.0,556,607,7715,9884,4416,4103,0,1
pangolier,18.0,619,645,16277,10107,3222,8266,0,0
enigma,19.0,584,605,10036,7005,6831,7421,0,0
rattletrap,5.5,353,405,10121,14614,544,11558,3,0
lich,7.0,341,421,10059,9512,44,3163,9,7
pangolier,16.0,614,799,28082,12155,2277,2905,4,1
batrider,32.0,687,1019,27641,11679,624,5940,1,0
chaos_knight,14.0,622,643,18011,11192,7455,1870,0,0
techies,12.5,473,604,18263,10371,1410,5928,1,2
silencer,9.33,344,536,13591,7964,625,3524,9,7
ursa,0.6,506,584,10642,16376,0,7006,0,0
leshrac,0.38,421,458,18020,27775,566,6842,2,0
crystal_maiden,0.43,210,323,9079,17925,0,6627,8,5
rubick,0.88,261,314,7937,18502,0,10592,4,1
doom_bringer,0.3,443,322,7683,25010,0,9804,0,0
elder_titan,40.0,457,726,16916,8206,763,1007,8,9
techies,6.0,420,681,23615,11421,1526,2171,6,2
windrunner,8.0,594,725,27352,14532,6148,622,3,2
faceless_void,7.0,736,864,25729,23056,6480,3120,0,1
broodmother,6.5,664,716,23152,22920,12742,4227,0,0
terrorblade,0.71,548,453,13543,20381,367,3211,0,0
lina,1.18,558,646,28283,27774,43,3937,1,0
