heroId,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
pugna,0.75,251,352,23115,20899,2572,3915,10,2
undying,2.25,279,384,6177,12140,208,5283,7,3
tidehunter,9.0,494,524,6190,8278,3909,2643,0,0
death_prophet,16.0,534,546,19614,11172,2222,5138,1,0
lion,4.67,307,344,8128,6265,0,1270,3,1
medusa,8.0,674,720,14545,406,6045,3942,0,0
monkey_king,1.0,562,581,9306,8925,718,2933,0,0
primal_beast,1.33,389,421,3780,14637,307,2110,0,0
ember_spirit,0.4,416,511,12040,14383,489,5918,1,0
skywrath_mage,0.67,190,209,6265,8607,0,1161,5,0
elder_titan,2.0,239,236,6870,8102,114,1912,4,2
windrunner,3.0,466,610,38406,33040,2182,5699,2,0
snapfire,4.17,454,508,35847,25410,1667,6979,0,0
medusa,3.0,754,828,60005,7798,3479,8876,0,6
enchantress,1.55,293,538,27181,39162,3569,6651,20,6
monkey_king,2.1,363,566,25616,41133,896,6229,2,0
techies,4.0,437,575,33428,21579,1170,2911,3,1
pangolier,5.6,562,722,34226,29505,1046,10692,2,0
beastmaster,25.0,699,801,26962,33521,3697,7684,0,0
alchemist,4.14,883,753,36778,78068,14377,16150,1,0
crystal_maiden,2.55,346,619,15149,24382,91,4160,17,13
venomancer,12.0,353,335,11116,4013,923,1653,2,0
naga_siren,8.0,736,531,6926,3921,2561,984,2,0
rubick,8.0,488,552,12611,3675,232,5396,1,0
medusa,12.0,462,440,8142,513,3027,2300,0,0
bounty_hunter,4.5,479,398,14353,12851,524,6271,4,2
slark,0.17,393,420,1369,11834,0,2337,0,0
batrider,0.8,450,553,7126,13966,0,2917,0,0
sand_king,0.67,321,341,7419,11370,0,10697,0,0
skywrath_mage,1.67,241,275,6753,7282,0,1782,4,3
nyx_assassin,0.8,215,246,2306,8696,0,7379,6,3
slark,1.5,441,539,5373,23941,0,2772,0,1
shredder,0.4,495,607,13865,30333,0,6497,0,0
doom_bringer,2.0,517,450,7089,16899,82,2557,0,0
pugna,0.8,253,306,16156,15685,876,2798,5,1
shadow_demon,0.36,254,330,12899,20510,55,2420,10,4
medusa,13.0,753,670,18985,920,14363,2657,0,0
templar_assassin,16.0,652,745,22374,15597,11821,3839,1,0
enchantress,18.0,636,604,34159,15645,2285,2257,0,0
keeper_of_the_light,19.0,344,482,19924,8233,932,342,5,1
spirit_breaker,10.5,364,442,11926,14218,150,2941,10,5
pangolier,4.0,509,516,16417,17663,190,3681,1,0
snapfire,1.8,238,346,8964,13464,0,1086,6,3
doom_bringer,0.86,596,547,11844,28486,104,2827,0,0
medusa,4.0,675,664,26787,1875,1809,5084,0,1
enchantress,0.45,287,291,3208,19348,397,1595,8,5
techies,4.5,342,467,11366,8218,0,0,10,9
templar_assassin,13.0,730,754,30904,8478,8753,381,2,1
underlord,6.5,514,659,6089,14479,1678,450,0,1
clinkz,5.67,410,523,11855,11332,8294,758,4,1
alchemist,10.5,848,779,20622,24713,8508,1172,0,1
razor,1.5,452,540,6672,12519,382,1522,0,0
rattletrap,1.0,194,233,6671,12477,247,1887,5,1
snapfire,1.33,464,543,15235,14389,173,2697,1,1
shadow_demon,0.43,212,248,10506,11025,109,1227,7,4
templar_assassin,0.67,591,721,9197,8456,2596,2409,0,0
medusa,12.0,854,786,14965,375,22909,2848,0,1
ember_spirit,15.0,587,644,22441,12824,1793,4951,0,1
mars,4.0,480,435,8273,16285,2199,4994,0,0
mirana,15.0,378,407,9216,7771,1121,2309,3,2
undying,6.33,358,415,3971,11026,329,773,11,4
doom_bringer,7.0,429,397,9697,8445,49,3823,4,2
void_spirit,5.5,497,506,13258,12333,4223,6737,2,0
medusa,10.0,788,715,20754,102,12623,3892,0,0
