match_id,start_time,win,hero_id,account_id,leaguename
19311622,1339009329,true,31,58017868,Wild Cards West
19311622,1339009329,true,29,88704095,Wild Cards West
19311622,1339009329,true,21,86747757,Wild Cards West
19311622,1339009329,true,38,88792641,Wild Cards West
19311622,1339009329,false,84,34930858,Wild Cards West
19311622,1339009329,false,80,25175582,Wild Cards West
19311622,1339009329,false,13,53151216,Wild Cards West
19311622,1339009329,false,40,71983243,Wild Cards West
19311622,1339009329,false,52,88502795,Wild Cards West
19314522,1339011108,true,78,66254722,Wild Cards West
19314522,1339011108,true,10,1185644,Wild Cards West
19314522,1339011108,true,33,45064222,Wild Cards West
19314522,1339011108,true,21,87590874,Wild Cards West
19314522,1339011108,true,40,64331867,Wild Cards West
19314522,1339011108,false,60,91646642,Wild Cards West
19314522,1339011108,false,55,53178236,Wild Cards West
19314522,1339011108,false,39,86840554,Wild Cards West
19314522,1339011108,false,79,93614932,Wild Cards West
19314522,1339011108,false,20,47240869,Wild Cards West
19314985,1339012140,false,27,89246836,Wild Cards East
19314985,1339012140,false,53,99460568,Wild Cards East
19314985,1339012140,false,1,99278987,Wild Cards East
19314985,1339012140,false,20,103207115,Wild Cards East
19314985,1339012140,false,68,102787324,Wild Cards East
19314985,1339012140,true,10,91443418,Wild Cards East
19314985,1339012140,true,26,92919767,Wild Cards East
19314985,1339012140,true,21,91802865,Wild Cards East
19314985,1339012140,true,39,91946343,Wild Cards East
19314985,1339012140,true,16,38114864,Wild Cards East
19320490,1339015059,true,13,91646642,Wild Cards West
19320490,1339015059,true,10,86840554,Wild Cards West
19320490,1339015059,true,61,53178236,Wild Cards West
19320490,1339015059,true,40,93614932,Wild Cards West
19320490,1339015059,true,33,47240869,Wild Cards West
19320490,1339015059,false,78,66254722,Wild Cards West
19320490,1339015059,false,17,1185644,Wild Cards West
19320490,1339015059,false,21,87590874,Wild Cards West
19320490,1339015059,false,31,45064222,Wild Cards West
19320490,1339015059,false,5,64331867,Wild Cards West
19320624,1339014853,true,40,87196890,Wild Cards West
19320624,1339014853,true,52,85375207,Wild Cards West
19320624,1339014853,true,74,19757254,Wild Cards West
19320624,1339014853,true,10,21289303,Wild Cards West
19320624,1339014853,true,53,20321748,Wild Cards West
19320624,1339014853,false,39,32995405,Wild Cards West
19320624,1339014853,false,66,34128052,Wild Cards West
