heroId,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
ember_spirit,8.25,801,867,46820,21139,9320,9044,0,0
dawnbreaker,10.33,661,799,31390,25400,3084,14035,0,0
muerta,5.75,665,788,27991,12462,6688,4948,1,1
rattletrap,7.17,424,555,29980,20673,438,7197,16,6
rubick,32.0,425,610,24449,16204,635,10970,4,2
spectre,0.93,457,662,21603,42209,0,6053,0,0
huskar,1.75,626,883,29734,38780,2115,3197,2,2
doom_bringer,0.93,512,398,15321,38053,0,3615,0,0
hoodwink,1.08,288,494,15765,25286,0,2334,8,5
silencer,2.29,267,372,13455,16302,96,2324,10,2
terrorblade,11.5,811,743,27306,19843,22083,7947,0,1
ember_spirit,2.86,577,778,43723,27662,2540,7793,0,0
doom_bringer,3.6,709,636,14952,24102,1166,3197,0,0
keeper_of_the_light,5.25,366,513,16189,8821,772,1447,4,2
rubick,2.3,288,355,12282,18708,0,3922,18,6
muerta,3.8,721,744,38985,22645,1296,3705,0,0
magnataur,6.67,558,744,17275,25859,517,4847,0,0
batrider,4.0,406,611,15603,22007,1186,5437,0,0
disruptor,3.83,293,399,14219,13894,113,2458,12,8
rattletrap,2.33,342,401,13054,30047,0,5053,9,4
naga_siren,6.4,1030,749,58155,48186,12461,6207,0,5
disruptor,3.25,276,564,14244,34133,0,4977,28,3
shredder,5.83,601,696,52883,59053,4167,13244,2,0
techies,2.28,412,648,63107,54094,7048,5863,3,2
doom_bringer,6.5,662,743,45063,61495,991,11780,0,0
legion_commander,3.0,551,563,44240,51604,4824,8412,0,0
queenofpain,6.4,763,779,74074,50958,1213,8265,2,3
undying,2.24,387,559,12914,54697,203,8829,30,6
clinkz,3.1,621,680,65682,38579,9690,5506,4,3
muerta,2.78,816,723,60051,37614,8723,7350,0,1
techies,2.36,460,559,14753,17711,1511,3071,5,2
riki,14.67,605,869,32976,17909,3380,2800,0,2
monkey_king,35.0,747,830,34305,24006,13046,7797,0,1
disruptor,11.5,356,592,8417,12949,290,1057,11,2
tusk,32.0,595,824,24768,23437,2186,4437,2,0
medusa,2.17,678,797,32350,8799,2203,14255,0,0
pangolier,1.7,464,549,18480,26431,0,9097,2,0
