heroId,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
spirit_breaker,10.0,652,815,20884,21888,853,13887,1,0
dragon_knight,16.5,597,731,26649,20018,11735,16511,1,1
monkey_king,33.0,698,804,22480,20474,14086,14403,0,1
rubick,3.25,381,556,17177,12973,373,8523,8,2
techies,3.5,372,477,22024,17112,1032,14565,10,6
ursa,1.11,559,567,15220,23611,0,5552,0,2
storm_spirit,6.0,597,799,27396,15943,740,1590,1,1
doom_bringer,1.08,500,505,18346,29974,189,3947,0,0
crystal_maiden,1.3,285,306,17087,21864,0,1634,2,2
silencer,1.42,245,324,14416,17822,0,1001,18,7
enchantress,1.86,323,302,13654,13562,1826,3357,9,1
death_prophet,1.5,417,440,20402,23206,596,4449,0,0
tusk,1.0,248,348,6829,21389,0,3081,5,0
muerta,2.67,564,692,29570,17216,3035,3414,0,1
legion_commander,2.14,457,527,19942,25324,95,9123,2,0
undying,3.78,412,410,11133,28513,800,2068,6,0
batrider,30.0,556,713,19801,12867,293,1986,1,3
dawnbreaker,4.43,553,618,24855,20678,2185,1935,0,0
troll_warlord,15.0,746,772,29151,17609,18852,6236,0,1
rubick,8.25,426,646,15757,10730,2553,835,10,10
silencer,7.67,369,450,12286,4024,302,203,7,1
visage,18.0,518,545,7428,5348,9299,746,0,0
death_prophet,22.0,667,596,21376,11896,7273,2834,1,3
tiny,13.0,380,472,11984,8572,589,1993,3,0
bloodseeker,22.0,731,759,22240,10477,2764,1324,0,0
spirit_breaker,0.62,253,308,7532,18831,0,7988,7,1
templar_assassin,0.5,441,509,8211,16352,463,12142,1,2
rubick,0.18,185,242,7528,16160,0,7604,4,1
dark_seer,1.25,338,380,10651,14086,0,8582,0,0
morphling,0.5,453,519,6395,9885,30,4171,0,0
rubick,2.0,350,331,34736,20388,0,1442,11,3
phantom_lancer,0.75,517,500,14889,23082,594,2159,0,0
dark_seer,1.67,399,427,33959,28571,0,2039,0,1
void_spirit,1.62,383,407,24548,29070,21,3272,2,1
undying,1.09,244,294,10254,23376,0,1448,9,4
morphling,21.0,745,818,29280,47153,25379,4173,1,0
shredder,14.0,678,730,49255,25103,1485,2213,2,0
primal_beast,8.33,429,617,18020,23358,3752,3672,0,1
snapfire,8.0,442,609,13932,8145,606,463,11,5
spirit_breaker,4.5,443,643,14000,14627,452,1414,7,4
templar_assassin,3.0,746,867,50507,21144,14065,11575,1,3
primal_beast,3.0,495,710,31191,44621,478,10407,0,0
rubick,2.4,311,567,19143,19716,27,3549,11,3
batrider,4.17,444,619,18483,31351,125,6470,12,4
queenofpain,9.33,697,817,66994,34947,5604,3506,1,0
snapfire,2.57,633,699,53516,37529,7157,15517,2,2
rattletrap,1.77,355,466,13465,36363,363,11016,20,4
shredder,6.67,620,699,23895,34081,3620,8550,0,2
dark_willow,2.0,305,451,14786,22146,392,4806,3,3
morphling,6.67,751,708,46117,56199,26220,13353,0,1
terrorblade,3.25,621,555,17878,23703,4771,4301,0,1
nevermore,3.17,486,602,31703,26087,0,5353,1,1
magnataur,2.43,532,673,20792,34369,0,9454,0,0
enchantress,1.75,329,376,20825,24205,1472,6007,8,2
disruptor,2.43,252,386,9247,13294,213,1888,8,6
batrider,3.38,416,634,22793,20531,0,3032,14,1
shredder,14.0,763,986,43811,29030,1179,6870,1,0
doom_bringer,2.43,652,665,16677,22642,843,5807,0,0
rubick,3.4,430,587,12214,10169,360,2333,4,3
abaddon,3.17,717,844,26163,18073,19914,4408,0,1
spirit_breaker,1.0,265,349,5076,15527,0,10806,4,0
drow_ranger,0.75,511,539,6783,7609,1158,883,0,0
batrider,1.33,406,489,9052,12482,64,5876,0,0
queenofpain,0.5,466,491,11819,13979,678,3695,2,1
pugna,1.0,221,256,12251,10349,180,418,6,3
venomancer,8.5,367,469,13472,4759,1159,1587,6,6
magnataur,15.0,480,607,5528,10337,116,4951,0,0
rubick,5.67,355,535,10221,7906,193,2928,7,1
phantom_lancer,13.0,692,652,11417,7888,9748,2533,0,0
void_spirit,18.0,613,721,19308,14091,2905,9630,1,0
faceless_void,11.5,748,837,20657,19933,8362,8345,0,0
windrunner,15.0,584,724,27739,9642,12029,7728,1,1
shredder,3.5,557,641,20755,23997,2107,12618,0,0
techies,13.5,360,612,27309,7857,3760,8389,7,6
witch_doctor,5.6,357,604,14689,16119,1132,8055,13,9
magnataur,1.5,432,500,7261,25847,2400,2508,1,0
rubick,1.86,266,374,15334,18376,23,1589,9,3
morphling,3.33,642,591,25901,24778,5946,3266,0,0
storm_spirit,6.0,458,511,17354,21909,167,3533,2,4
silencer,1.18,266,404,11698,20239,0,3954,8,4
rubick,8.0,332,647,14078,11315,347,538,5,3
ursa,4.75,692,793,38436,31134,11316,8169,0,0
monkey_king,9.0,672,793,55605,25702,20338,6722,2,0
doom_bringer,10.33,707,730,27655,21514,2319,4975,0,0
techies,4.38,408,586,32101,26263,1137,5393,17,11
pugna,1.67,350,390,22401,29261,4002,3142,10,6
antimage,1.5,754,840,31483,22278,7939,4437,1,2
earth_spirit,4.0,529,605,21290,43298,371,6139,2,0
lion,1.62,349,454,12431,28208,359,4289,10,4
shredder,2.12,529,493,28323,44830,1491,4247,0,0
puck,1.75,467,638,27599,20044,182,1467,2,0
phoenix,1.36,300,438,20250,14152,0,436,12,4
legion_commander,1.78,422,562,32560,33140,645,569,0,0
naga_siren,1.83,669,485,18858,27472,2093,617,0,1
techies,1.11,403,442,20748,14625,158,1305,4,2
leshrac,8.0,770,938,35951,31077,5013,5633,2,0
broodmother,7.67,723,927,23677,26373,10352,2244,0,0
spirit_breaker,3.5,402,609,12625,30501,91,5463,8,2
muerta,13.5,775,981,34865,17287,14541,1337,0,1
rubick,3.0,373,625,9241,14777,127,3628,7,6
silencer,1.33,285,439,13021,15683,0,4299,9,5
chaos_knight,1.12,497,578,20607,37973,427,17490,0,0
doom_bringer,1.8,662,567,16968,30330,0,10828,0,0
keeper_of_the_light,2.0,411,491,23319,19433,22,5482,10,2
ember_spirit,4.0,596,721,34854,24497,110,7364,0,0
morphling,11.5,923,843,48054,33190,22697,11426,1,1
pugna,8.33,381,493,21687,14612,3184,8897,12,3
underlord,12.0,563,789,24032,25962,7382,11043,0,0
bloodseeker,5.25,437,485,16701,21190,1205,12409,0,1
rubick,4.25,310,532,17442,13815,490,9160,6,1
silencer,3.5,343,444,12585,23419,155,2805,21,11
invoker,4.29,503,581,43385,29565,1941,5207,1,0
magnataur,2.78,488,713,25762,52126,2418,7960,0,1
rubick,3.0,320,502,18418,34852,147,3445,4,3
naga_siren,11.5,957,729,59149,38366,10187,6091,0,1
morphling,7.5,687,812,47511,31679,17702,15915,0,0
spirit_breaker,4.5,752,769,38190,52599,436,18844,0,1
storm_spirit,2.78,602,697,26295,35841,2134,16872,2,1
grimstroke,5.6,468,620,49919,19357,1372,10395,2,3
techies,1.25,334,508,16413,19823,836,12663,22,10
void_spirit,1.38,471,492,16604,29974,988,4561,2,0
underlord,1.0,411,388,16556,28562,287,8457,12,0
terrorblade,1.75,599,482,15153,22105,2897,3194,0,0
crystal_maiden,1.54,305,353,14731,24980,304,5083,6,2
monkey_king,2.33,357,438,13864,15165,0,4695,3,1
storm_spirit,7.2,638,662,28677,18149,2971,3986,2,0
beastmaster,7.4,549,680,22585,19979,5929,13961,0,0
rubick,7.0,526,573,22810,12936,1163,8953,3,0
bounty_hunter,4.57,534,500,11451,15611,1039,10000,9,6
drow_ranger,6.4,842,758,35263,10233,12319,6765,0,0
troll_warlord,0.4,526,717,10802,30863,2294,6484,0,0
rattletrap,1.14,292,324,14031,22180,0,7232,5,0
snapfire,0.38,272,340,6941,18404,48,2023,12,3
queenofpain,1.5,526,648,21999,26976,464,7044,2,0
dark_seer,3.5,453,501,12150,17965,53,8625,0,2
razor,18.0,637,703,25495,16552,13651,5758,0,0
sven,22.0,828,1012,41736,17613,10447,3929,0,0
silencer,3.25,296,403,10229,7532,500,2332,10,8
rubick,9.0,426,624,14715,7682,70,2692,8,1
pangolier,15.0,563,746,24213,16544,1495,13276,2,0
morphling,5.5,728,718,16177,30549,11511,14453,0,2
undying,1.44,285,464,7034,29887,0,6111,14,6
rubick,3.4,306,507,8798,14698,65,7370,5,3
earthshaker,2.33,500,565,21430,33887,692,6895,1,0
broodmother,2.5,601,769,15503,30005,4765,7500,0,1
templar_assassin,5.25,902,934,40970,4269,14642,1672,0,0
mars,7.0,530,707,19490,16910,1913,1810,0,0
ember_spirit,2.71,593,732,36110,18553,1452,2203,1,0
skywrath_mage,3.6,344,512,21619,12640,106,1444,17,5
grimstroke,3.14,491,549,20837,16570,3892,977,4,2
disruptor,2.09,259,356,8695,23954,0,1317,0,3
storm_spirit,2.8,494,575,34763,27815,700,1999,0,1
underlord,1.92,449,476,19518,32943,536,5685,0,0
rubick,5.2,343,430,20435,13262,106,1940,0,0
bloodseeker,5.25,781,906,36688,21553,1536,2574,0,0
undying,4.0,337,447,10726,26304,1238,7205,0,2
tusk,5.43,481,603,31561,31772,1650,11324,0,0
beastmaster,4.17,509,536,13214,24179,12054,5684,0,1
techies,3.22,401,444,26560,18492,1891,7089,0,1
drow_ranger,5.0,740,771,37466,19352,19000,6403,0,0
silencer,2.56,350,419,18958,17997,1375,3922,0,4
viper,4.0,652,678,32670,27320,5645,4411,0,3
beastmaster,3.8,596,749,22786,26648,4563,4972,0,0
bounty_hunter,2.5,370,375,6469,23451,0,5098,0,8
alchemist,4.8,918,798,43346,30900,5711,3096,0,0
templar_assassin,6.0,774,809,34399,20002,13547,20267,0,2
doom_bringer,3.43,682,686,24218,36268,526,19239,0,0
furion,5.0,726,756,28046,25833,12381,11279,0,1
rubick,4.0,406,573,18573,19166,178,12683,0,5
phoenix,2.18,429,618,21080,21426,198,18907,0,3
undying,3.5,311,473,6264,12218,494,238,9,4
shredder,18.0,765,915,43871,30772,1892,2575,1,0
drow_ranger,3.6,730,809,25460,15185,17458,2074,0,0
underlord,10.0,535,698,16163,23270,5354,1695,0,1
rubick,1.88,330,355,9234,14770,487,517,7,1
lina,2.0,581,619,35080,18591,348,3829,1,1
lycan,6.5,587,588,12437,18033,1282,3955,0,0
broodmother,1.0,556,667,16838,29696,3084,5313,0,0
spirit_breaker,2.2,332,469,10238,19991,28,3689,9,5
pugna,2.0,307,410,21622,14681,850,2567,7,2
techies,1.0,275,386,22139,15365,192,10730,9,0
void_spirit,2.0,510,587,23784,27617,2423,9670,0,1
shredder,1.29,465,535,26974,28954,65,19252,2,0
rubick,2.67,308,372,11481,9371,20,7308,7,3
magnataur,2.67,467,598,9250,24077,3465,8905,0,1
juggernaut,15.0,855,904,31988,27576,21075,3091,0,0
silencer,10.0,335,546,13310,6386,1151,245,14,5
phoenix,5.0,376,570,18569,10309,684,524,2,2
batrider,4.2,555,691,24067,24309,807,2947,2,1
spirit_breaker,4.2,569,659,17450,23902,1258,548,0,0
bloodseeker,4.6,648,870,48093,33380,2586,11523,0,0
tusk,3.67,444,551,28437,35511,0,6266,0,0
underlord,2.29,470,549,23164,32622,804,5739,0,2
mirana,4.4,384,516,15634,21214,338,3304,0,2
witch_doctor,1.83,339,476,21111,31802,247,5355,0,2
enchantress,3.33,362,501,26198,21186,1320,4280,0,8
pangolier,3.38,565,680,30802,27733,2642,11371,0,2
alchemist,15.5,1043,972,58018,39783,23004,6648,0,2
rubick,3.43,360,440,18394,15235,1089,3706,0,2
batrider,2.78,531,665,21117,32502,1586,11200,0,0
slark,17.0,575,722,37462,42598,1265,7094,0,2
mirana,5.75,616,755,43470,37754,1045,3888,1,0
disruptor,2.0,260,329,11921,25797,57,2551,19,6
pugna,1.73,262,354,19737,22776,384,2818,4,1
underlord,1.88,467,559,28603,35609,263,7619,12,1
oracle,6.5,274,353,6614,12302,131,3595,14,4
beastmaster,13.0,610,755,34685,33181,7428,10008,0,0
void_spirit,4.8,612,715,51840,31198,7647,8707,3,2
techies,1.38,361,440,37432,25311,605,5346,6,4
monkey_king,5.5,686,738,33963,39201,10935,17967,0,1
rattletrap,0.88,224,275,7351,20950,0,3978,9,1
lycan,4.0,525,635,10495,19662,0,2749,0,0
shredder,2.0,517,506,28884,26585,252,5545,0,0
storm_spirit,1.75,498,490,17492,23753,807,7212,1,0
pugna,1.0,237,298,13067,13562,1179,4503,4,4
shadow_demon,1.75,321,417,11555,15857,7,1591,11,8
leshrac,14.0,844,847,42148,20933,14056,2032,1,1
naga_siren,15.0,748,648,16414,19159,8796,1472,0,0
legion_commander,21.0,548,618,30164,12409,3108,812,0,0
wisp,5.75,312,501,4231,8931,506,670,3,0
faceless_void,3.5,599,729,16981,26788,0,3418,0,0
pangolier,2.8,528,611,25058,24914,391,3652,1,2
doom_bringer,2.5,666,676,15040,32746,0,5635,0,0
pugna,1.18,322,362,21184,24036,1799,6191,6,3
silencer,1.5,268,389,14697,16398,41,1391,12,4
medusa,8.5,773,846,25168,1725,13950,6242,1,1
bounty_hunter,6.0,585,605,30662,28760,720,10847,1,1
shadow_demon,3.75,376,466,19574,15361,3026,4875,13,6
batrider,3.0,481,517,18489,24961,0,10648,4,2
void_spirit,12.5,605,770,30989,22153,3041,7977,0,1
snapfire,2.0,249,301,13369,11335,0,235,5,7
bloodseeker,1.0,501,549,19734,18774,374,2454,1,0
doom_bringer,0.6,521,461,7725,17590,0,2104,0,0
pugna,2.0,257,305,17294,8326,510,1325,7,4
queenofpain,1.25,433,511,17420,15385,94,2737,1,0
tiny,15.0,553,677,15216,22586,5853,14966,2,1
rubick,3.0,333,392,10638,7616,1332,3054,4,0
shredder,5.0,591,656,20891,25869,791,11425,0,0
shadow_demon,4.0,352,394,11572,7269,228,1245,7,6
juggernaut,13.0,736,799,13093,12202,12315,5128,1,1
dragon_knight,1.11,407,433,16688,35190,3171,5280,2,0
antimage,2.0,656,824,14568,22703,1063,2772,0,1
tidehunter,1.22,408,430,15579,30263,482,4334,0,0
techies,1.0,307,306,22699,15337,0,1890,14,6
mirana,0.9,265,363,10734,16947,35,2829,3,2
storm_spirit,7.5,534,659,20505,23410,1691,635,1,1
rubick,16.5,389,587,17282,11165,145,925,7,4
spirit_breaker,8.67,497,582,13573,18301,62,1139,0,0
terrorblade,27.0,852,701,46946,17458,28122,1517,0,1
pugna,6.6,413,589,22134,9934,3114,666,11,8
skeleton_king,0.56,414,476,11674,27182,1936,2830,0,0
ember_spirit,1.86,530,546,36504,24640,713,3822,2,1
doom_bringer,0.4,423,317,8242,23354,206,1726,0,0
silencer,1.33,255,282,10609,14924,0,775,4,0
undying,1.22,207,282,6013,21505,189,1993,5,1
luna,8.0,846,820,28386,12768,14524,9290,0,1
tidehunter,30.0,577,671,18966,17176,5914,5757,0,1
storm_spirit,17.5,709,921,34000,16799,2018,9798,1,0
spirit_breaker,4.17,343,397,10839,15793,0,6265,5,0
pugna,9.33,364,488,19414,10506,2984,7637,7,0
chen,2.4,329,311,3888,10764,1080,1947,3,5
pangolier,1.0,389,425,17760,14342,236,558,0,1
monkey_king,3.67,454,497,14778,14303,863,2727,0,0
pugna,2.4,245,306,16216,9994,1412,1148,15,7
