heroId,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
shredder,0.5,361,390,7123,19229,265,3509,0,0
templar_assassin,3.0,595,672,13087,5615,111,4073,1,0
abaddon,0.5,196,214,4931,11428,0,1835,9,4
keeper_of_the_light,0.5,320,343,7965,9050,33,932,4,0
ember_spirit,1.0,362,355,14818,15622,227,1435,0,0
dragon_knight,14.0,465,474,10642,11824,941,3728,0,0
obsidian_destroyer,12.0,651,651,16756,11133,4135,1522,2,2
luna,8.0,817,877,16797,10673,11414,5052,0,0
bane,3.67,276,325,6445,7719,36,930,10,6
mirana,19.0,389,434,10304,6575,26,2303,2,0
lycan,2.2,604,523,14754,31664,12012,10267,0,1
pangolier,2.0,541,601,33519,29870,239,12098,0,1
templar_assassin,1.5,753,787,33151,20949,2941,10602,0,1
snapfire,1.25,300,451,17261,26808,1063,7808,16,7
rubick,1.22,278,393,17850,17022,366,3863,9,3
enigma,6.75,452,592,23725,17382,1812,2097,10,4
visage,28.0,623,696,18717,24907,15863,5488,0,3
terrorblade,9.5,890,627,28994,19935,13837,4953,0,1
monkey_king,9.0,409,602,14918,22136,731,2852,13,6
ember_spirit,10.33,766,773,39959,32175,969,8643,1,1
vengefulspirit,1.75,412,618,14351,23793,621,1840,9,1
leshrac,4.62,727,1055,54622,49855,3938,6281,2,0
beastmaster,3.5,670,934,27017,36098,2819,4703,0,0
luna,6.8,806,1044,30278,26962,17407,3854,0,0
pugna,2.0,462,390,25007,22968,4114,3386,1,0
ember_spirit,1.73,602,660,32226,32654,1009,4076,1,0
underlord,2.45,582,752,49985,33952,867,4327,20,0
naga_siren,1.0,537,538,13717,21575,70,1436,0,0
rubick,2.64,496,566,34136,31400,271,3201,4,1
keeper_of_the_light,7.8,482,729,29612,31694,532,2833,7,0
templar_assassin,17.0,736,731,18919,4204,9825,5359,1,0
underlord,27.0,546,639,12593,9145,3578,4200,0,0
spirit_breaker,3.43,409,482,11202,18053,265,10714,4,4
ember_spirit,8.67,512,557,29963,12476,1135,3326,1,0
keeper_of_the_light,9.5,362,446,7242,5801,62,300,6,2
snapfire,1.0,402,408,10949,20954,28,5204,2,0
rattletrap,1.57,233,259,8594,16531,0,5258,4,1
batrider,1.0,246,247,8491,17137,183,2752,7,2
venomancer,1.25,377,302,12165,12191,625,2645,0,0
juggernaut,0.75,514,653,9480,13106,613,2717,0,0
furion,15.5,862,777,28149,9768,11834,3672,0,0
snapfire,25.0,568,629,17565,14744,2664,5268,0,0
nevermore,16.0,752,829,13337,14103,11272,5529,2,0
rattletrap,10.33,372,468,11527,12437,134,12795,6,4
undying,6.0,351,427,5555,15424,330,7771,4,3
phantom_lancer,0.4,440,489,8755,11215,0,190,0,0
legion_commander,0.67,349,277,10648,20237,500,37,0,0
venomancer,0.7,287,334,17845,14933,78,200,7,3
ember_spirit,0.5,379,444,14471,18084,324,557,2,1
techies,0.67,250,227,14757,11664,41,90,3,2
windrunner,7.0,880,953,33580,10311,18636,2900,0,0
ember_spirit,10.0,713,875,34174,15884,3661,3685,2,2
techies,3.44,455,553,21984,14468,1638,3942,1,0
bounty_hunter,4.38,617,582,18225,21331,2270,6976,0,1
lich,6.8,392,547,13488,13135,604,1691,15,4
crystal_maiden,1.54,279,306,11622,19595,8,4178,11,3
tiny,1.43,424,518,18130,28243,220,5042,2,0
doom_bringer,1.89,496,502,9298,25787,114,7295,0,1
clinkz,1.55,377,458,15316,26932,956,6125,4,0
juggernaut,3.2,588,689,20763,20894,143,5599,0,0
queenofpain,0.0,228,335,3271,4615,0,2122,2,0
mirana,0.5,199,163,4104,4882,0,258,1,0
ember_spirit,0.67,259,311,3404,5936,0,105,0,0
underlord,0.5,279,280,3563,3584,0,2250,1,0
lich,0.75,172,119,4479,4812,0,1826,0,0
pudge,4.0,420,389,2673,3433,0,2264,0,0
spirit_breaker,12.0,311,400,4716,4973,0,1504,1,0
clinkz,7.0,447,393,6296,5106,192,1704,0,0
grimstroke,5.0,262,301,3458,2060,0,1403,2,2
monkey_king,6.0,495,562,6686,3249,286,4882,2,0
elder_titan,3.0,344,518,9553,21568,833,5336,13,6
ember_spirit,27.0,670,793,53425,29033,3003,13034,2,0
doom_bringer,6.33,789,816,20478,29916,1609,9515,0,1
disruptor,3.29,312,454,6802,17444,37,7271,6,2
naga_siren,7.67,847,756,24966,36913,19420,8441,0,1
venomancer,1.78,308,426,31915,21936,268,6079,13,7
void_spirit,3.25,530,685,24103,28308,228,4785,2,0
earth_spirit,2.29,476,589,26312,40811,608,5782,0,0
techies,2.33,319,477,24195,19775,495,6037,4,3
medusa,3.0,748,689,28349,4394,8780,10015,0,0
rubick,13.0,380,441,13386,12037,1056,1936,0,0
brewmaster,21.0,504,543,15175,10281,3251,2053,0,0
undying,10.0,325,447,7124,14388,939,5787,0,1
phantom_lancer,18.0,672,657,18502,17697,7919,5274,0,0
omniknight,12.0,607,735,28012,18364,3325,3193,0,0
disruptor,0.5,212,260,6923,16289,0,2227,0,5
ember_spirit,0.86,563,661,37142,19758,427,2797,0,0
bounty_hunter,0.75,255,333,7832,14551,0,2702,0,1
